episode,episode_reward,avg_loss,episode_steps,global_step,num_tls,epsilon_end,arrived_vehicles,avg_wait_time,avg_travel_time,avg_stops,avg_queue,decision_cycle_sec,decision_steps,waiting_total,cycle_60_count,cycle_90_count,cycle_120_count,cycle_60_pct,cycle_90_pct,cycle_120_pct,cycle_entropy,phase_name,phase_episode
11,-309.1923626373626,8.785499924107603,19,1854,9,0.96105,3480,120.58563218390805,300.44626436781607,6.039080459770115,311.3425414364641,60.0,70,12632.75,8,6,5,35.944700460829495,32.71889400921659,31.336405529953915,1.5825609478310652,phase1_warmup,11
12,-360.2507203907204,8.303290295600892,20,2034,9,0.95725,3507,149.0998003992016,352.1243227830054,8.696606786427147,464.9881081081081,120.0,130,34695.5,10,5,5,36.97478991596639,31.932773109243694,31.092436974789916,1.5806496014661915,phase1_warmup,12
13,-275.2476678876679,7.830889174812718,19,2205,9,0.95364,3336,123.46942446043165,310.7056354916067,7.668165467625899,280.1149732620321,120.0,130,22120.75,7,6,6,36.82170542635659,31.782945736434108,31.3953488372093,1.5810590484318685,phase1_warmup,13
14,-543.0949938949939,7.434010529518128,20,2385,9,0.94984,3440,158.80406976744186,362.8703488372093,9.12936046511628,706.8769633507853,120.0,130,69455.75,9,5,6,37.27598566308244,31.182795698924732,31.54121863799283,1.5799930062177356,phase1_warmup,14
15,-228.779590964591,7.450255113489487,17,2538,9,0.94661,2973,121.41574167507568,328.983181971073,7.515977127480659,243.4989010989011,120.0,130,17102.5,3,7,7,36.02693602693603,31.64983164983165,32.323232323232325,1.5825860579325783,phase1_warmup,15
16,-298.3686721611722,6.688616991043091,18,2700,9,0.94319,3479,127.77895947111239,319.49841908594425,7.168439206668583,347.5883333333333,90.0,100,22241.5,6,6,6,35.75949367088608,31.962025316455694,32.278481012658226,1.5830624969367864,phase1_warmup,16
17,-337.2039255189254,6.2212757562336165,19,2871,9,0.93958,3332,129.60084033613447,321.2280912364946,7.645558223289315,375.1836956521739,120.0,130,33067.5,8,5,6,36.01190476190476,31.547619047619047,32.44047619047619,1.5825730439257542,phase1_warmup,17
18,-263.3703235653236,5.888811164432102,18,3033,9,0.93616,3265,107.16416539050536,286.99632465543647,5.740275650842267,265.7699453551913,60.0,70,13343.25,5,7,6,35.774647887323944,31.83098591549296,32.3943661971831,1.5830145557115247,phase1_warmup,18
19,-306.871510989011,5.741561624738905,18,3195,9,0.93274,3796,127.18018967334037,315.3927818756586,6.866965226554267,412.9763440860215,120.0,130,33571.75,5,6,7,35.294117647058826,31.818181818181817,32.887700534759354,1.5835986798189534,phase1_warmup,19
20,-310.46362637362637,5.575701462595086,19,3366,9,0.92913,3451,151.68704723268618,354.8301941466242,9.198782961460447,447.0663043478261,90.0,100,21863.75,8,5,6,35.53299492385787,31.725888324873097,32.74111675126903,1.5832930024394831,phase1_warmup,20
21,-328.39379426129426,5.491343679882231,21,3555,9,0.92514,3435,146.68762736535663,349.5802037845706,8.958078602620088,414.0511111111111,60.0,70,12792.5,12,7,2,36.77884615384615,31.73076923076923,31.490384615384613,1.5811638121586458,phase1_warmup,21
22,-366.3981318681319,5.429251489185152,21,3744,9,0.92115,3551,124.23317375387215,313.04759222754154,7.392847085328077,370.31344086021505,60.0,70,13961.5,10,9,2,37.44292237442922,32.19178082191781,30.36529680365297,1.5791983989453429,phase1_warmup,22
23,-350.2708424908425,5.3993655575646295,18,3906,9,0.91773,3849,161.37126526370486,358.1787477266823,8.85190958690569,522.0790322580646,90.0,100,24043.75,6,4,8,37.199124726477024,31.947483588621445,30.85339168490153,1.5800600149527706,phase1_warmup,23
24,-362.4029822954824,5.371787372388337,19,4077,9,0.91412,3565,155.17475455820477,371.8852734922861,9.943057503506312,516.4593582887701,90.0,100,30075.0,5,10,4,36.68763102725367,32.914046121593294,30.398322851153043,1.580645832947213,phase1_warmup,24
25,-317.6706166056166,5.237624592251247,18,4239,9,0.9107000000000001,3734,143.5353508302089,339.31199785752545,8.421531869309051,464.65737704918035,60.0,70,13552.5,5,7,6,36.49193548387097,33.064516129032256,30.443548387096776,1.5809911693435028,phase1_warmup,25
26,-332.3646703296703,5.338187862845028,17,4392,9,0.90747,3848,161.24090436590436,357.0051975051975,8.628638253638254,504.56054054054056,90.0,100,22087.75,4,4,9,35.992217898832685,32.87937743190661,31.1284046692607,1.5823508330281486,phase1_warmup,26
27,-251.93440476190474,5.1655380305121925,17,4545,9,0.90424,3217,124.39633198632266,319.9679825924775,7.584706248057196,296.678021978022,90.0,100,18232.25,2,9,6,35.150375939849624,33.64661654135339,31.203007518796994,1.583235755552168,phase1_warmup,27
28,-419.58745726495727,5.283932434885125,19,4716,9,0.90063,3564,164.3280022446689,368.2825476992144,8.599887766554433,523.5433155080214,120.0,130,45794.25,6,8,5,34.96376811594203,33.8768115942029,31.15942028985507,1.5832871198207625,phase1_warmup,28
29,-403.3127258852259,5.309327292442322,20,4896,9,0.89683,3338,171.0476333133613,378.93109646494906,9.877771120431396,462.9610810810811,120.0,130,28761.0,11,3,6,35.602094240837694,33.1588132635253,31.239092495637,1.5828968096026865,phase1_warmup,29
30,-335.07132478632474,5.312111806869507,20,5076,9,0.89303,3741,134.02592889601712,325.9366479550922,7.608393477679765,400.57513513513516,120.0,130,27916.75,11,3,6,36.195286195286194,32.49158249158249,31.313131313131315,1.5821824040994739,phase1_warmup,30
31,-715.1510653235653,5.319333148002625,20,5256,9,0.88923,4269,177.5785898336847,381.33028812368235,9.846334036074023,959.3510638297872,90.0,100,44584.25,9,6,5,36.422764227642276,32.52032520325203,31.05691056910569,1.5816659390059904,phase2_moderate,1
32,-520.279474969475,5.402564154730903,18,5418,9,0.88581,4091,181.6328526032755,405.29406013199707,10.396480078220485,830.3835978835979,90.0,100,39710.75,3,9,6,35.80441640378549,33.12302839116719,31.07255520504732,1.5825310273668054,phase2_moderate,2
33,-628.4920695970695,5.382336775461833,18,5580,9,0.88239,3916,173.36491317671093,385.3340143003064,10.141981613891726,908.3579234972677,90.0,100,50159.75,6,5,7,35.68147013782542,33.078101071975496,31.240428790199083,1.5828138493351878,phase2_moderate,3
34,-607.1546520146521,5.52818519190738,19,5751,9,0.87878,3739,159.71088526343942,359.0682000534902,8.862797539449051,795.4850828729282,120.0,130,55791.75,9,4,6,35.95839524517088,32.68945022288261,31.352154531946507,1.582551893402155,phase2_moderate,4
35,-707.9038156288156,5.676859629781623,19,5922,9,0.87517,3528,151.39824263038548,345.7721088435374,7.657312925170068,776.1581521739131,120.0,130,89141.75,7,7,5,35.93073593073593,32.75613275613276,31.313131313131315,1.5825649257729397,phase2_moderate,5
36,-740.7176312576312,5.931980258540103,19,6093,9,0.87156,3713,201.4484244546189,417.4775114462699,11.032049555615405,1005.3826086956522,120.0,130,91473.25,7,7,5,35.90462833099579,32.81907433380084,31.276297335203367,1.5825745047822548,phase2_moderate,6
37,-574.2193956043955,5.915462418606407,19,6264,9,0.86795,3411,171.60715332746994,391.37965406039285,10.164174728818528,602.6950276243094,90.0,100,44435.5,8,6,5,36.01637107776262,32.87858117326057,31.105047748976805,1.58230062855453,phase2_moderate,7
38,-564.2499481074481,6.0617607434590655,18,6426,9,0.86453,3416,165.46896955503513,373.63612412177986,8.664812646370024,548.4430107526882,120.0,130,60988.75,6,4,8,35.90425531914894,32.57978723404255,31.515957446808514,1.5827156385815715,phase2_moderate,8
39,-674.5350549450549,6.145955138736301,18,6588,9,0.86111,3548,189.92559188275084,388.7564825253664,9.38923337091319,797.835,60.0,70,46959.5,6,6,6,35.927367055771725,32.555123216601814,31.517509727626457,1.5826837419857558,phase2_moderate,9
40,-724.5147588522589,6.303022066752116,18,6750,9,0.8576900000000001,3854,170.6512714063311,368.12714063310847,8.958484691229891,969.8928961748634,60.0,70,39748.25,6,5,7,35.949367088607595,32.40506329113924,31.645569620253166,1.5827034593874378,phase2_moderate,10
41,-488.8828021978022,6.340172688166301,18,6912,9,0.85427,3469,154.8103199769386,357.05102334966847,9.036609974055924,459.15222222222224,120.0,130,50038.5,7,4,7,35.97033374536465,32.138442521631646,31.89122373300371,1.582726438693379,phase2_moderate,11
42,-613.8050885225884,6.3717962265014645,20,7092,9,0.8504700000000001,3448,189.247969837587,400.7810324825986,10.70185614849188,854.2115384615385,60.0,70,35966.25,12,2,6,36.626506024096386,31.566265060240962,31.807228915662648,1.5814894081616444,phase2_moderate,12
43,-504.72291208791205,6.29938702583313,20,7272,9,0.84667,3197,134.17141069752893,336.90240850797625,7.917109790428527,382.2098901098901,120.0,130,49916.0,10,6,4,36.89776733254994,31.492361927144536,31.609870740305524,1.580904635760715,phase2_moderate,13
44,-588.6221611721612,6.418947537740071,18,7434,9,0.84325,3712,168.19154094827587,380.97225215517244,10.137661637931034,820.307650273224,120.0,130,78701.25,5,7,6,36.666666666666664,31.60919540229885,31.724137931034484,1.5814100721440516,phase2_moderate,14
45,-621.769246031746,6.485823035240173,20,7614,9,0.83945,3868,148.62693898655635,342.25180972078596,8.003102378490176,739.182967032967,90.0,100,43796.0,11,4,5,37.03703703703704,31.425364758698095,31.53759820426487,1.5805842349587458,phase2_moderate,15
46,-614.7313949938949,6.573286215464274,21,7803,9,0.83546,3309,145.93683892414626,351.25234209731036,9.168328800241765,499.0316666666667,60.0,70,32649.25,13,5,3,37.67798466593648,31.2157721796276,31.106243154435926,1.5789547097468715,phase2_moderate,16
47,-734.0431684981685,6.652435257321312,21,7992,9,0.83147,4112,171.69285019455253,377.81079766536965,9.847519455252918,825.0213114754098,60.0,70,30884.75,13,4,4,38.288770053475936,30.909090909090907,30.802139037433157,1.5771669709047467,phase2_moderate,17
48,-856.2861202686202,6.694458293914795,20,8172,9,0.82767,3816,200.0348532494759,426.21069182389937,10.700733752620545,1322.401081081081,60.0,70,44491.5,10,5,5,38.59832635983263,30.753138075313807,30.648535564853557,1.576173876010146,phase2_moderate,18
49,-755.2845024420026,6.5273805379867555,20,8352,9,0.82387,3656,169.25218818380745,369.73659737417944,9.582056892778994,934.1118918918919,90.0,100,57355.75,8,9,3,38.58751279426817,31.11566018423746,30.296827021494373,1.5761320813283592,phase2_moderate,19
50,-761.1954029304027,6.798286437988281,19,8523,9,0.82026,3965,181.42774274905423,405.26279949558636,10.193694829760403,1244.6541436464088,90.0,100,70676.5,8,6,5,38.61584754262788,31.19358074222668,30.19057171514544,1.5759989753265216,phase2_moderate,20
51,-477.9764621489621,6.792691908384624,19,8694,9,0.81665,3712,190.02505387931035,412.5188577586207,11.158674568965518,734.7820652173913,120.0,130,51552.75,8,5,6,38.64306784660767,31.071779744346117,30.285152409046212,1.575954039230532,phase2_moderate,21
52,-590.3825610500611,6.670335054397583,18,8856,9,0.81323,3721,192.1671593657619,404.5872077398549,10.53883364686912,898.4,120.0,130,75090.0,4,7,7,38.32046332046332,31.177606177606176,30.501930501930502,1.5770159187137196,phase2_moderate,22
53,-550.9247924297923,6.715701484680176,20,9036,9,0.80943,3307,155.56274569095856,350.63259752041125,8.033565164801935,469.98241758241755,120.0,130,49636.75,11,4,5,38.59981078524125,30.936613055818352,30.4635761589404,1.5761439695991921,phase2_moderate,23
54,-740.8062728937729,6.733075062433879,18,9198,9,0.80601,3466,176.58453548759377,389.3205424120023,9.424408540103865,781.1944444444445,90.0,100,74574.75,6,6,6,38.47583643122677,31.04089219330855,30.483271375464682,1.5765386714731802,phase2_moderate,24
55,-691.9899816849818,6.778953003883362,20,9378,9,0.80221,3685,163.10067842605156,359.2401628222524,8.117503392130258,726.5752747252748,60.0,70,35471.5,9,8,3,38.65086599817685,31.175934366453966,30.17319963536919,1.5758825738681312,phase2_moderate,25
56,-674.3932112332113,6.992764782905579,20,9558,9,0.7984100000000001,3433,179.8630935042237,406.12583745994755,10.956889018351296,641.1065934065934,60.0,70,30147.75,9,8,3,38.81932021466905,31.305903398926656,29.874776386404296,1.5751889471646994,phase2_moderate,26
