episode,episode_reward,avg_loss,episode_steps,global_step,num_tls,epsilon_end,arrived_vehicles,avg_wait_time,avg_travel_time,avg_stops,avg_queue,decision_cycle_sec,decision_steps,decision_steps,waiting_total,env_seed,route_file,cycle_60_count,cycle_90_count,cycle_120_count,cycle_60_pct,cycle_90_pct,cycle_120_pct,cycle_entropy,phase_name,phase_episode
44,-2.944577710677214,0.00546244214373556,22,7803,9,0.629785,6175,91.60631578947368,479.0089068825911,4.106234817813765,346.8384210526316,120.0,130,130,20162.25,86,,16,0,6,46.65203073545554,26.893523600439078,26.454445664105382,1.5302169987167566,phase1_mixed_easy,44
45,-8.371753908716311,0.0050528936148823604,23,8010,9,0.6199525,7209,187.91524483284783,685.1618809821057,12.019697600221944,1417.0183783783784,60.0,70,70,48393.75,87,,17,4,2,47.37967914438503,26.631016042780747,25.989304812834224,1.524164716174967,phase1_mixed_easy,45
46,-2.0514164244673516,0.0028741894057020545,21,8199,9,0.610975,5757,77.14712523883968,456.10838978634706,3.4875803369810665,236.08010752688173,60.0,70,70,5200.5,88,,14,1,6,47.85788923719958,26.12330198537095,26.01880877742947,1.5200951905582571,phase1_mixed_easy,46
47,-1.7292954380981673,0.003721275089663409,21,8388,9,0.6019975,5240,67.0574427480916,442.98187022900765,3.451908396946565,189.49666666666667,120.0,130,130,8731.0,89,,13,5,3,48.11031664964249,26.046986721144023,25.842696629213485,1.5178604414685672,phase1_mixed_easy,47
48,-2.2713882521278577,0.0035457046702504157,20,8568,9,0.5934475,5772,97.02442827442827,482.1269923769924,4.290194040194041,332.0281081081081,120.0,130,130,17113.75,90,,12,1,7,48.3,25.6,26.1,1.5161310795796688,phase1_mixed_easy,48
49,-3.264051983593604,0.004312821116764098,20,8748,9,0.5848975000000001,5797,96.55183715715025,483.1945834052096,4.3962394341900985,340.35274725274724,60.0,70,70,8667.5,91,,12,2,6,48.579823702252696,25.269343780607244,26.15083251714006,1.5135107203080986,phase1_mixed_easy,49
50,-2.1234408245746685,0.0043286419407065424,21,8937,9,0.57592,5625,82.19217777777777,466.0618666666667,4.039466666666667,273.62888888888887,120.0,130,130,15510.75,92,,13,5,3,48.80153403643337,25.21572387344199,25.98274209012464,1.511487292909695,phase1_mixed_easy,50
51,-2.0094290536000927,0.0032457578503950076,22,9135,9,0.5665150000000001,5602,82.02766868975365,461.6051410210639,3.915030346304891,242.69130434782608,60.0,70,70,5441.75,93,,15,4,3,49.249530956848034,25.046904315197,25.70356472795497,1.507280886847036,phase1_mixed_easy,51
52,-2.9652767696968803,0.003193337190896273,20,9315,9,0.557965,5955,93.02686817800168,478.94290512174643,4.367926112510496,321.4983783783784,60.0,70,70,8434.25,94,,10,5,5,49.31002759889604,25.0229990800368,25.666973321067154,1.5067033410293316,phase1_mixed_easy,52
53,-2.8177449627234563,0.0028234267319064764,21,9504,9,0.5489875,6065,93.40560593569661,479.0440230832646,4.203297609233306,352.3,60.0,70,70,9202.75,95,,12,5,4,49.50405770964833,24.97745716862038,25.51848512173129,1.5048466376902023,phase1_mixed_easy,53
54,-6.1287881013937655,0.0021103156364655922,21,9693,9,0.54001,6959,182.3111079178043,667.462853858313,10.735881592182785,1453.7116666666666,120.0,130,130,110719.75,96,,14,3,4,49.778956675508404,24.75685234305924,25.46419098143236,1.5021244684008321,phase1_mixed_easy,54
55,-2.231552124484717,0.002769083589858686,24,9909,9,0.5297499999999999,5406,81.1204217536071,463.5980392156863,4.230854605993341,258.125,60.0,70,70,6130.0,97,,21,2,1,50.60553633217994,24.39446366782007,25.0,1.4937852845036592,phase1_mixed_easy,55
56,-2.5238551465550665,0.0037192352382200105,21,10098,9,0.5207725000000001,5577,83.11368119060427,464.14219114219117,4.065805988882912,268.4918032786885,60.0,70,70,6791.0,98,,12,6,3,50.76400679117148,24.448217317487266,24.78777589134126,1.4921746109452165,phase1_mixed_easy,56
57,-2.4401735032000236,0.006313158757984638,20,10278,9,0.5122225,5743,88.67856520982065,471.0597248824656,4.06651575831447,287.6881081081081,120.0,130,130,14330.5,99,,10,5,5,50.70892410341952,24.43703085904921,24.854045037531275,1.4927402923573905,phase1_mixed_easy,57
58,-2.0473328575506495,0.004698109847959131,20,10458,9,0.5036725000000001,5460,86.27326007326008,464.94029304029306,4.025457875457875,256.41297297297297,90.0,100,100,9730.5,100,,11,3,6,50.73770491803279,24.34426229508197,24.91803278688525,1.4924177120581936,phase1_mixed_easy,58
59,-2.275904322251849,0.0033108304064212875,22,10656,9,0.4942675000000001,5695,80.49657594381036,461.6124670763828,3.73801580333626,248.3375,60.0,70,70,6066.0,101,,15,4,3,51.08608205953339,24.215607401448107,24.698310539018504,1.4887644373782165,phase1_mixed_easy,59
60,-4.512885980072021,0.0032403190056548305,19,10827,9,0.48614499999999994,6313,146.12165373039758,561.3088864248376,6.399809916046253,740.7486187845304,60.0,70,70,21910.0,102,,7,8,4,50.91053048297704,24.46555819477435,24.623911322248617,1.4906517793655893,phase1_mixed_easy,60
61,-2.4759971946210113,0.0024714043607846612,21,11016,9,0.47716749999999997,5922,98.36288416075651,485.43177980412025,4.413036136440391,345.55956284153007,60.0,70,70,9164.5,103,,13,4,4,51.128404669260696,24.357976653696497,24.5136186770428,1.488344950685386,phase2_mixed_moderate,1
62,-7.469955743351146,0.0020191779000345955,22,11214,9,0.46776249999999997,7010,193.1740370898716,707.362910128388,13.553067047075606,1520.6696132596685,60.0,70,70,57490.25,104,,15,5,2,51.452599388379205,24.31192660550459,24.23547400611621,1.4848642216698256,phase2_mixed_moderate,2
63,-2.497857410442661,0.00455711879545734,21,11403,9,0.458785,6052,90.64656311962987,473.88466622604096,3.889788499669531,313.7798941798942,120.0,130,130,17177.5,105,,11,6,4,51.42857142857142,24.360902255639097,24.210526315789473,1.4851219921408232,phase2_mixed_moderate,3
64,-6.002264039431724,0.009747522107015053,24,11619,9,0.44852500000000006,6964,150.72156806433085,584.0529867892016,8.307725445146467,903.3483870967742,60.0,70,70,31128.5,106,,20,2,2,52.02952029520295,24.059040590405903,23.911439114391143,1.4785127159086215,phase2_mixed_moderate,4
65,-7.5786759686992,0.004491196155710065,23,11826,9,0.43869250000000004,7268,185.59548706659328,694.1679966978536,12.867914144193726,1477.6696808510637,120.0,130,130,127380.75,107,,16,5,2,52.28426395939086,24.002900652646847,23.71283538796229,1.4756385598651804,phase2_mixed_moderate,5
66,-6.59934637056545,0.008889741571196779,22,12024,9,0.42928750000000004,6825,154.57010989010988,587.6178754578755,7.936996336996337,950.3967391304348,60.0,70,70,30681.5,108,,15,4,3,52.56776034236804,23.894436519258203,23.537803138373754,1.472399765540719,phase2_mixed_moderate,6
